Path_0,Path_1,Path_2,Name,ID,AudienceSize
Entertainment,Movies,"Drama movies","Drama movies",6003375422677,169592264
"Sports and outdoors",Sports,"American football","American football",6003376089674,221520580
Entertainment,Games,"Role-playing games","Role-playing games",6003380576181,94149083
Technology,"Consumer electronics","Portable media players","Portable media players",6003381994165,12214880
"Hobbies and activities",Pets,Reptiles,Reptiles,6003382151137,19912522
"Fitness and wellness",,,"Fitness and wellness",6003384248805,797104420
Entertainment,Games,"Racing games","Racing games",6003385141743,92338070
"Food and drink",Cooking,Recipes,Recipes,6003385609165,308450540
"Business and industry",Online,"Web hosting","Web hosting",6003387418453,15298400
"Hobbies and activities","Arts and music",Drums,Drums,6003387633593,32957737
"Business and industry","Personal finance",Investment,Investment,6003388314512,167395410
"Business and industry",Online,"Social media marketing","Social media marketing",6003389760112,20373120
"Shopping and fashion",Shopping,"Shopping malls","Shopping malls",6003390752144,418851180
"Food and drink",Beverages,"Energy drinks","Energy drinks",6003392512725,55408630
"Hobbies and activities",Vehicles,RVs,RVs,6003394580331,22449134
"Hobbies and activities","Politics and social issues",Religion,Religion,6003395353671,320016610
"Business and industry",Construction,,Construction,6003395414271,214005790
"Sports and outdoors",Sports,Tennis,Tennis,6003397425735,207910760
"Fitness and wellness",Running,,Running,6003397496347,194986042
"Food and drink",Restaurants,"Fast casual restaurants","Fast casual restaurants",6003398056603,62594186
"Business and industry",Business,,Business,6003402305839,705037310
"Business and industry",Online,"Web design","Web design",6003402518839,21032470
Technology,Computers,,Computers,6003404634364,1107889970
"Food and drink","Alcoholic beverages",,"Alcoholic beverages",6003409043877,393563440
"Family and relationships",Weddings,,Weddings,6003409392877,191186900
"Shopping and fashion",Clothing,"Children's clothing","Children's clothing",6003415393053,231069206
"Hobbies and activities",Pets,Horses,Horses,6003416777039,128254130
Entertainment,"Live events",Plays,Plays,6003417378239,157787620
"Food and drink",Cuisine,"French cuisine","French cuisine",6003420024431,73661084
Entertainment,Reading,"Non-fiction books","Non-fiction books",6003420644631,18937997
"Hobbies and activities","Politics and social issues","Charity and causes","Charity and causes",6003422719241,55871530
"Hobbies and activities","Arts and music",Dance,Dance,6003423342191,387586280
Technology,Computers,"Free software","Free software",6003423416540,536987110
"Sports and outdoors",Sports,Marathons,Marathons,6003424404140,108434728
"Hobbies and activities",Travel,Lakes,Lakes,6003430600057,171406856
"Hobbies and activities",Travel,Tourism,Tourism,6003430696269,451742050
"Hobbies and activities",Travel,Beaches,Beaches,6003431201869,272270596
Entertainment,Games,"Browser games","Browser games",6003434373937,61337960
"Food and drink",Food,Barbecue,Barbecue,6003435096731,142741951
"Food and drink",Restaurants,,Restaurants,6003436950375,512461120
"Shopping and fashion",Beauty,Fragrances,Fragrances,6003443805331,242428882
"Family and relationships",Marriage,,Marriage,6003445506042,196899980
"Hobbies and activities",Vehicles,Scooters,Scooters,6003446055283,31265270
"Shopping and fashion",Beauty,"Hair products","Hair products",6003456330903,352371408
"Shopping and fashion",Clothing,,Clothing,6003456388203,915164050
"Hobbies and activities",Pets,"Pet food","Pet food",6003461162225,31721818
Entertainment,Reading,Books,Books,6003462707303,513386440
"Business and industry","Health care",,"Health care",6003464109203,145473930
"Business and industry",Banking,"Online banking","Online banking",6003466585319,49423300
"Hobbies and activities","Home and garden","Do it yourself (DIY)","Do it yourself (DIY)",6003470511564,143378600
Entertainment,Games,"Shooter games","Shooter games",6003471508663,112960710
"Fitness and wellness","Weight training",,"Weight training",6003473077165,153451746
"Family and relationships",Family,,Family,6003476182657,788072890
"Business and industry",Online,"Display advertising","Display advertising",6003481391264,6037964
"Food and drink",Beverages,Tea,Tea,6003491283786,364610670
Entertainment,Music,"Country music","Country music",6003493980595,296878680
"Food and drink",Cuisine,"Indian cuisine","Indian cuisine",6003494675627,49876185
"Sports and outdoors","Outdoor recreation",Hiking,Hiking,6003509171264,94441934
"Sports and outdoors",Sports,Golf,Golf,6003510075864,137289519
"Sports and outdoors",Sports,Snowboarding,Snowboarding,6003512053894,127592333
"Business and industry",Online,"Online advertising","Online advertising",6003526234370,76765100
Entertainment,Games,"Sports games","Sports games",6003540150873,123793940
"Hobbies and activities",Travel,Hotels,Hotels,6003572379887,287400965
"Business and industry","Real estate",,"Real estate",6003578086487,221477590
Entertainment,Games,"Strategy games","Strategy games",6003582500438,71200433
Entertainment,Music,"Rock music","Rock music",6003582732907,574265740
"Business and industry",Advertising,,Advertising,6003584163107,211516440
"Hobbies and activities","Arts and music",Writing,Writing,6003586608473,174004240
Entertainment,Movies,"Anime movies","Anime movies",6003605717820,165730966
"Food and drink",Beverages,Coffee,Coffee,6003626773307,381186820
Technology,Computers,"Hard drives","Hard drives",6003629266583,38614670
Entertainment,Music,"Heavy metal music","Heavy metal music",6003633122583,261727350
"Food and drink",Food,Veganism,Veganism,6003641846820,114205477
Entertainment,Games,"Card games","Card games",6003647522546,112812820
"Fitness and wellness",Bodybuilding,,Bodybuilding,6003648059946,141891226
"Business and industry",Design,,Design,6003649983713,808693170
"Hobbies and activities","Politics and social issues",Politics,Politics,6003654559478,207576060
"Business and industry",Nursing,,Nursing,6003656063078,68794340
"Business and industry",Economics,,Economics,6003656112304,179306550
Technology,Computers,"Network storage","Network storage",6003656296104,29372470
Entertainment,Movies,"Horror movies","Horror movies",6003656922020,199780613
"Food and drink",Cooking,,Cooking,6003659420716,497926430
"Food and drink",Food,Pizza,Pizza,6003668857118,230775840
Entertainment,Games,"Puzzle video games","Puzzle video games",6003668975718,222468890
"Hobbies and activities","Politics and social issues",Law,Law,6003703762913,257035830
"Food and drink",Beverages,Juice,Juice,6003703931713,110724350
Technology,"Consumer electronics",,"Consumer electronics",6003716669862,1251621870
"Hobbies and activities","Arts and music",Sculpture,Sculpture,6003717247746,75663320
"Hobbies and activities",Vehicles,Hybrids,Hybrids,6003717914546,16472447
Technology,"Consumer electronics","Audio equipment","Audio equipment",6003729124262,17104346
"Business and industry",Retail,,Retail,6003778400853,336562590
"Sports and outdoors","Outdoor recreation","Horseback riding","Horseback riding",6003779859852,51683752
"Business and industry",Online,,Online,6003780008652,675596680
"Hobbies and activities","Arts and music",Drawing,Drawing,6003780025252,95733950
"Business and industry",Agriculture,,Agriculture,6003840140052,248684520
"Hobbies and activities","Arts and music",Photography,Photography,6003899195666,654066380
Entertainment,Music,"Electronic music","Electronic music",6003902397066,414205930
"Hobbies and activities",Travel,"Theme parks","Theme parks",6003902462066,190877843
Entertainment,Games,"Video games","Video games",6003940339466,793111810
Technology,"Consumer electronics","Game consoles","Game consoles",6003943667466,284208200
"Hobbies and activities","Politics and social issues",Environmentalism,Environmentalism,6003970975896,38031700
Technology,,,Technology,6003985771306,1373576010
"Business and industry",Online,"Social media","Social media",6004030160948,161758460
"Hobbies and activities",Vehicles,Boats,Boats,6004037107009,54072630
"Food and drink",Food,"Fast food","Fast food",6004037400009,238544060
"Hobbies and activities",Pets,,Pets,6004037726009,530217040
"Business and industry",Management,,Management,6004037932409,176618210
Entertainment,Reading,Newspapers,Newspapers,6004043913548,491757010
"Food and drink",Cuisine,"German cuisine","German cuisine",6004094205989,31779888
"Family and relationships",Friendship,,Friendship,6004100985609,692485380
"Fitness and wellness","Physical exercise",,"Physical exercise",6004115167424,305499520
"Business and industry",Architecture,,Architecture,6004140335706,376066020
"Hobbies and activities",Travel,,Travel,6004160395895,955772490
Technology,Computers,Software,Software,6005609368513,552050390
"Shopping and fashion",Shopping,"Luxury goods","Luxury goods",6007828099136,456073388
"Business and industry",,,"Business and industry",6008740787350,1243540060
"Sports and outdoors",,,"Sports and outdoors",6008803895164,1137715710
Technology,"Consumer electronics","E-book readers","E-book readers",6008832464480,15145139
"Food and drink",,,"Food and drink",6009248606271,1085117420
"Hobbies and activities","Home and garden",,"Home and garden",6009422452499,514149250
Entertainment,"Live events",,"Live events",6010924093432,671530320
"Shopping and fashion",Clothing,"Women's clothing","Women's clothing",6011366104268,490002570
"Hobbies and activities","Politics and social issues",,"Politics and social issues",6011515350975,692140850
"Shopping and fashion",Clothing,"Men's clothing","Men's clothing",6011994253127,403050670
"Hobbies and activities",,,"Hobbies and activities",6012547807252,1302322350
"Family and relationships",,,"Family and relationships",6012684376438,1019524230
